Date,SPY,XLE,XOP
2017-01-03 14:30:00,225.24,76.17,168.04
2017-01-04 14:30:00,226.58,76.01,168.84
2017-01-05 14:30:00,226.4,75.82,168.32
2017-01-06 14:30:00,227.21,75.89,167.08
2017-01-09 14:30:00,226.46,74.79,162.4
2017-01-10 14:30:00,226.46,74.11,162.4
2017-01-11 14:30:00,227.1,74.91,164.0
2017-01-12 14:30:00,226.53,74.6,162.88
2017-01-13 14:30:00,227.05,74.38,161.88
2017-01-17 14:30:00,226.25,74.84,164.44
2017-01-18 14:30:00,226.75,74.67,164.2
2017-01-19 14:30:00,225.91,74.26,163.76
2017-01-20 14:30:00,226.74,74.54,164.52
2017-01-23 14:30:00,226.15,73.75,162.8
2017-01-24 14:30:00,227.6,74.56,165.36
2017-01-25 14:30:00,229.57,74.95,166.44
2017-01-26 14:30:00,229.33,75.01,167.2
2017-01-27 14:30:00,228.97,74.23,165.2
2017-01-30 14:30:00,227.55,72.87,160.64
2017-01-31 14:30:00,227.53,72.9,160.32
2017-02-01 14:30:00,227.62,72.36,159.12
2017-02-02 14:30:00,227.77,72.77,160.2
2017-02-03 14:30:00,229.34,73.4,162.72
2017-02-06 14:30:00,228.93,72.78,160.24
2017-02-07 14:30:00,228.94,71.75,156.36
2017-02-08 14:30:00,229.24,71.92,156.72
2017-02-09 14:30:00,230.6,72.73,159.6
2017-02-10 14:30:00,231.51,73.28,161.4
2017-02-13 14:30:00,232.77,73.42,160.12
2017-02-14 14:30:00,233.7,73.66,161.4
2017-02-15 14:30:00,234.92,73.37,160.76
2017-02-16 14:30:00,234.72,72.37,158.08
2017-02-17 14:30:00,235.09,71.97,157.28
2017-02-21 14:30:00,236.49,72.46,159.24
2017-02-22 14:30:00,236.28,71.36,154.64
2017-02-23 14:30:00,236.44,71.66,154.52
2017-02-24 14:30:00,236.74,70.99,151.48
2017-02-27 14:30:00,237.11,71.6,152.68
2017-02-28 14:30:00,236.47,71.38,151.44
2017-03-01 14:30:00,239.78,72.81,155.56
2017-03-02 14:30:00,238.27,72.12,151.8
2017-03-03 14:30:00,238.42,71.99,151.44
2017-03-06 14:30:00,237.71,72.15,152.4
2017-03-07 14:30:00,237.0,71.51,150.24
2017-03-08 14:30:00,236.56,69.65,143.8
2017-03-09 14:30:00,236.86,70.11,144.8
2017-03-10 14:30:00,237.69,70.01,144.44
2017-03-13 13:30:00,237.81,70.02,145.44
2017-03-14 13:30:00,236.9,69.23,143.52
2017-03-15 13:30:00,238.95,70.77,147.88
2017-03-16 13:30:00,238.48,70.27,146.28
2017-03-17 13:30:00,237.03,69.8,145.76
2017-03-20 13:30:00,236.77,69.746,145.9652
2017-03-21 13:30:00,233.73,69.21,142.76
2017-03-22 13:30:00,234.28,69.11,141.24
2017-03-23 13:30:00,234.03,68.83,140.68
2017-03-24 13:30:00,233.86,68.56,140.84
2017-03-27 13:30:00,233.62,68.24,141.48
2017-03-28 13:30:00,235.32,69.21,145.16
2017-03-29 13:30:00,235.54,70.16,149.04
2017-03-30 13:30:00,236.29,70.14,147.76
2017-03-31 13:30:00,235.74,69.9,149.76
2017-04-03 13:30:00,235.33,69.78,149.16
2017-04-04 13:30:00,235.48,70.29,151.16
2017-04-05 13:30:00,234.78,70.07,147.6
2017-04-06 13:30:00,235.44,70.63,149.64
2017-04-07 13:30:00,235.2,70.36,148.88
2017-04-10 13:30:00,235.34,70.89,151.36
2017-04-11 13:30:00,235.06,70.9,151.56
2017-04-12 13:30:00,234.03,70.6,148.84
2017-04-13 13:30:00,232.51,69.31,145.32
